2026-04-18 22:43:38 | DEBUG    | cryosoft.vi.magnet_x | magnet_x.magnet_status -> 'HOLD'
2026-04-18 22:43:38 | DEBUG    | cryosoft.vi.magnet_y | magnet_y.get_field((), {})
2026-04-18 22:43:38 | DEBUG    | cryosoft.vi.magnet_y | magnet_y.get_field -> 0.0
2026-04-18 22:43:38 | DEBUG    | cryosoft.vi.magnet_y | magnet_y.magnet_current((), {})
2026-04-18 22:43:38 | DEBUG    | cryosoft.vi.magnet_y | magnet_y.magnet_current -> 0.0
2026-04-18 22:43:38 | DEBUG    | cryosoft.vi.magnet_y | magnet_y.magnet_status((), {})
2026-04-18 22:43:38 | DEBUG    | cryosoft.vi.magnet_y | magnet_y.magnet_status -> 'HOLD'
2026-04-18 22:43:38 | DEBUG    | cryosoft.vi.temperature_vti | temperature_vti.heater_output((), {})
2026-04-18 22:43:38 | DEBUG    | cryosoft.vi.temperature_vti | temperature_vti.heater_output -> 0.0
2026-04-18 22:43:38 | DEBUG    | cryosoft.vi.temperature_vti | temperature_vti.setpoint((), {})
2026-04-18 22:43:38 | DEBUG    | cryosoft.vi.temperature_vti | temperature_vti.setpoint -> 300.0
2026-04-18 22:43:38 | DEBUG    | cryosoft.vi.temperature_vti | temperature_vti.temperature((), {})
2026-04-18 22:43:38 | DEBUG    | cryosoft.vi.temperature_vti | temperature_vti.temperature -> 300.0
2026-04-18 22:43:38 | DEBUG    | cryosoft.vi.temperature_sample | temperature_sample.heater_output((), {})
2026-04-18 22:43:38 | DEBUG    | cryosoft.vi.temperature_sample | temperature_sample.heater_output -> 0.0
2026-04-18 22:43:38 | DEBUG    | cryosoft.vi.temperature_sample | temperature_sample.setpoint((), {})
2026-04-18 22:43:38 | DEBUG    | cryosoft.vi.temperature_sample | temperature_sample.setpoint -> 300.0
2026-04-18 22:43:38 | DEBUG    | cryosoft.vi.temperature_sample | temperature_sample.temperature((), {})
2026-04-18 22:43:38 | DEBUG    | cryosoft.vi.temperature_sample | temperature_sample.temperature -> 300.0
2026-04-18 22:43:38 | DEBUG    | cryosoft.vi.level_meter | level_meter.get_refresh_rate((), {})
2026-04-18 22:43:38 | DEBUG    | cryosoft.vi.level_meter | level_meter.get_refresh_rate -> 0
2026-04-18 22:43:38 | DEBUG    | cryosoft.vi.level_meter | level_meter.helium_level((), {})
2026-04-18 22:43:38 | DEBUG    | cryosoft.vi.level_meter | level_meter.helium_level -> 78.72501227672895
2026-04-18 22:43:38 | DEBUG    | cryosoft.vi.level_meter | level_meter.nitrogen_level((), {})
2026-04-18 22:43:38 | DEBUG    | cryosoft.vi.level_meter | level_meter.nitrogen_level -> 90.0
2026-04-18 22:43:41 | DEBUG    | cryosoft.vi.magnet_x | magnet_x.get_field((), {})
2026-04-18 22:43:41 | DEBUG    | cryosoft.vi.magnet_x | magnet_x.get_field -> 0.0
2026-04-18 22:43:41 | DEBUG    | cryosoft.vi.magnet_x | magnet_x.magnet_current((), {})
2026-04-18 22:43:41 | DEBUG    | cryosoft.vi.magnet_x | magnet_x.magnet_current -> 0.0
2026-04-18 22:43:41 | DEBUG    | cryosoft.vi.magnet_x | magnet_x.magnet_status((), {})
2026-04-18 22:43:41 | DEBUG    | cryosoft.vi.magnet_x | magnet_x.magnet_status -> 'HOLD'
2026-04-18 22:43:41 | DEBUG    | cryosoft.vi.magnet_y | magnet_y.get_field((), {})
2026-04-18 22:43:41 | DEBUG    | cryosoft.vi.magnet_y | magnet_y.get_field -> 0.0
2026-04-18 22:43:41 | DEBUG    | cryosoft.vi.magnet_y | magnet_y.magnet_current((), {})
2026-04-18 22:43:41 | DEBUG    | cryosoft.vi.magnet_y | magnet_y.magnet_current -> 0.0
2026-04-18 22:43:41 | DEBUG    | cryosoft.vi.magnet_y | magnet_y.magnet_status((), {})
2026-04-18 22:43:41 | DEBUG    | cryosoft.vi.magnet_y | magnet_y.magnet_status -> 'HOLD'
2026-04-18 22:43:41 | DEBUG    | cryosoft.vi.temperature_vti | temperature_vti.heater_output((), {})
2026-04-18 22:43:41 | DEBUG    | cryosoft.vi.temperature_vti | temperature_vti.heater_output -> 0.0
2026-04-18 22:43:41 | DEBUG    | cryosoft.vi.temperature_vti | temperature_vti.setpoint((), {})
2026-04-18 22:43:41 | DEBUG    | cryosoft.vi.temperature_vti | temperature_vti.setpoint -> 300.0
2026-04-18 22:43:41 | DEBUG    | cryosoft.vi.temperature_vti | temperature_vti.temperature((), {})
2026-04-18 22:43:41 | DEBUG    | cryosoft.vi.temperature_vti | temperature_vti.temperature -> 300.0
2026-04-18 22:43:41 | DEBUG    | cryosoft.vi.temperature_sample | temperature_sample.heater_output((), {})
2026-04-18 22:43:41 | DEBUG    | cryosoft.vi.temperature_sample | temperature_sample.heater_output -> 0.0
2026-04-18 22:43:41 | DEBUG    | cryosoft.vi.temperature_sample | temperature_sample.setpoint((), {})
2026-04-18 22:43:41 | DEBUG    | cryosoft.vi.temperature_sample | temperature_sample.setpoint -> 300.0
2026-04-18 22:43:41 | DEBUG    | cryosoft.vi.temperature_sample | temperature_sample.temperature((), {})
2026-04-18 22:43:41 | DEBUG    | cryosoft.vi.temperature_sample | temperature_sample.temperature -> 300.0
2026-04-18 22:43:41 | DEBUG    | cryosoft.vi.level_meter | level_meter.get_refresh_rate((), {})
2026-04-18 22:43:41 | DEBUG    | cryosoft.vi.level_meter | level_meter.get_refresh_rate -> 0
2026-04-18 22:43:41 | DEBUG    | cryosoft.vi.level_meter | level_meter.helium_level((), {})
2026-04-18 22:43:41 | DEBUG    | cryosoft.vi.level_meter | level_meter.helium_level -> 78.72451281766097
2026-04-18 22:43:41 | DEBUG    | cryosoft.vi.level_meter | level_meter.nitrogen_level((), {})
2026-04-18 22:43:41 | DEBUG    | cryosoft.vi.level_meter | level_meter.nitrogen_level -> 90.0
2026-04-18 22:43:41 | DEBUG    | cryosoft.core.orchestrator | Monitor: magnet_x: get_field=0, magnet_current=0, magnet_status=HOLD | magnet_y: get_field=0, magnet_current=0, magnet_status=HOLD | temperature_vti: heater_output=0, setpoint=300, temperature=300 | temperature_sample: heater_output=0, setpoint=300, temperature=300 | level_meter: get_refresh_rate=0, helium_level=78.72, nitrogen_level=90
2026-04-18 22:43:41 | DEBUG    | cryosoft.vi.magnet_x | magnet_x.get_field((), {})
2026-04-18 22:43:41 | DEBUG    | cryosoft.vi.magnet_x | magnet_x.get_field -> 0.0
2026-04-18 22:43:41 | DEBUG    | cryosoft.vi.magnet_x | magnet_x.magnet_current((), {})
2026-04-18 22:43:41 | DEBUG    | cryosoft.vi.magnet_x | magnet_x.magnet_current -> 0.0
2026-04-18 22:43:41 | DEBUG    | cryosoft.vi.magnet_x | magnet_x.magnet_status((), {})
2026-04-18 22:43:41 | DEBUG    | cryosoft.vi.magnet_x | magnet_x.magnet_status -> 'HOLD'
2026-04-18 22:43:41 | DEBUG    | cryosoft.vi.magnet_y | magnet_y.get_field((), {})
2026-04-18 22:43:41 | DEBUG    | cryosoft.vi.magnet_y | magnet_y.get_field -> 0.0
2026-04-18 22:43:41 | DEBUG    | cryosoft.vi.magnet_y | magnet_y.magnet_current((), {})
2026-04-18 22:43:41 | DEBUG    | cryosoft.vi.magnet_y | magnet_y.magnet_current -> 0.0
2026-04-18 22:43:41 | DEBUG    | cryosoft.vi.magnet_y | magnet_y.magnet_status((), {})
2026-04-18 22:43:41 | DEBUG    | cryosoft.vi.magnet_y | magnet_y.magnet_status -> 'HOLD'
2026-04-18 22:43:41 | DEBUG    | cryosoft.vi.temperature_vti | temperature_vti.heater_output((), {})
2026-04-18 22:43:41 | DEBUG    | cryosoft.vi.temperature_vti | temperature_vti.heater_output -> 0.0
2026-04-18 22:43:41 | DEBUG    | cryosoft.vi.temperature_vti | temperature_vti.setpoint((), {})
2026-04-18 22:43:41 | DEBUG    | cryosoft.vi.temperature_vti | temperature_vti.setpoint -> 300.0
2026-04-18 22:43:41 | DEBUG    | cryosoft.vi.temperature_vti | temperature_vti.temperature((), {})
2026-04-18 22:43:41 | DEBUG    | cryosoft.vi.temperature_vti | temperature_vti.temperature -> 300.0
2026-04-18 22:43:41 | DEBUG    | cryosoft.vi.temperature_sample | temperature_sample.heater_output((), {})
2026-04-18 22:43:41 | DEBUG    | cryosoft.vi.temperature_sample | temperature_sample.heater_output -> 0.0
2026-04-18 22:43:41 | DEBUG    | cryosoft.vi.temperature_sample | temperature_sample.setpoint((), {})
2026-04-18 22:43:41 | DEBUG    | cryosoft.vi.temperature_sample | temperature_sample.setpoint -> 300.0
2026-04-18 22:43:41 | DEBUG    | cryosoft.vi.temperature_sample | temperature_sample.temperature((), {})
2026-04-18 22:43:41 | DEBUG    | cryosoft.vi.temperature_sample | temperature_sample.temperature -> 300.0
2026-04-18 22:43:41 | DEBUG    | cryosoft.vi.level_meter | level_meter.get_refresh_rate((), {})
2026-04-18 22:43:41 | DEBUG    | cryosoft.vi.level_meter | level_meter.get_refresh_rate -> 0
2026-04-18 22:43:41 | DEBUG    | cryosoft.vi.level_meter | level_meter.helium_level((), {})
2026-04-18 22:43:41 | DEBUG    | cryosoft.vi.level_meter | level_meter.helium_level -> 78.72451068250338
2026-04-18 22:43:41 | DEBUG    | cryosoft.vi.level_meter | level_meter.nitrogen_level((), {})
2026-04-18 22:43:41 | DEBUG    | cryosoft.vi.level_meter | level_meter.nitrogen_level -> 90.0
2026-04-18 22:43:44 | DEBUG    | cryosoft.vi.magnet_x | magnet_x.get_field((), {})
2026-04-18 22:43:44 | DEBUG    | cryosoft.vi.magnet_x | magnet_x.get_field -> 0.0
2026-04-18 22:43:44 | DEBUG    | cryosoft.vi.magnet_x | magnet_x.magnet_current((), {})
2026-04-18 22:43:44 | DEBUG    | cryosoft.vi.magnet_x | magnet_x.magnet_current -> 0.0
2026-04-18 22:43:44 | DEBUG    | cryosoft.vi.magnet_x | magnet_x.magnet_status((), {})
2026-04-18 22:43:44 | DEBUG    | cryosoft.vi.magnet_x | magnet_x.magnet_status -> 'HOLD'
2026-04-18 22:43:44 | DEBUG    | cryosoft.vi.magnet_y | magnet_y.get_field((), {})
2026-04-18 22:43:44 | DEBUG    | cryosoft.vi.magnet_y | magnet_y.get_field -> 0.0
2026-04-18 22:43:44 | DEBUG    | cryosoft.vi.magnet_y | magnet_y.magnet_current((), {})
2026-04-18 22:43:44 | DEBUG    | cryosoft.vi.magnet_y | magnet_y.magnet_current -> 0.0
2026-04-18 22:43:44 | DEBUG    | cryosoft.vi.magnet_y | magnet_y.magnet_status((), {})
2026-04-18 22:43:44 | DEBUG    | cryosoft.vi.magnet_y | magnet_y.magnet_status -> 'HOLD'
2026-04-18 22:43:44 | DEBUG    | cryosoft.vi.temperature_vti | temperature_vti.heater_output((), {})
2026-04-18 22:43:44 | DEBUG    | cryosoft.vi.temperature_vti | temperature_vti.heater_output -> 0.0
2026-04-18 22:43:44 | DEBUG    | cryosoft.vi.temperature_vti | temperature_vti.setpoint((), {})
2026-04-18 22:43:44 | DEBUG    | cryosoft.vi.temperature_vti | temperature_vti.setpoint -> 300.0
2026-04-18 22:43:44 | DEBUG    | cryosoft.vi.temperature_vti | temperature_vti.temperature((), {})
2026-04-18 22:43:44 | DEBUG    | cryosoft.vi.temperature_vti | temperature_vti.temperature -> 300.0
2026-04-18 22:43:44 | DEBUG    | cryosoft.vi.temperature_sample | temperature_sample.heater_output((), {})
2026-04-18 22:43:44 | DEBUG    | cryosoft.vi.temperature_sample | temperature_sample.heater_output -> 0.0
2026-04-18 22:43:44 | DEBUG    | cryosoft.vi.temperature_sample | temperature_sample.setpoint((), {})
2026-04-18 22:43:44 | DEBUG    | cryosoft.vi.temperature_sample | temperature_sample.setpoint -> 300.0
2026-04-18 22:43:44 | DEBUG    | cryosoft.vi.temperature_sample | temperature_sample.temperature((), {})
2026-04-18 22:43:44 | DEBUG    | cryosoft.vi.temperature_sample | temperature_sample.temperature -> 300.0
2026-04-18 22:43:44 | DEBUG    | cryosoft.vi.level_meter | level_meter.get_refresh_rate((), {})
2026-04-18 22:43:44 | DEBUG    | cryosoft.vi.level_meter | level_meter.get_refresh_rate -> 0
2026-04-18 22:43:44 | DEBUG    | cryosoft.vi.level_meter | level_meter.helium_level((), {})
2026-04-18 22:43:44 | DEBUG    | cryosoft.vi.level_meter | level_meter.helium_level -> 78.72401252484322
2026-04-18 22:43:44 | DEBUG    | cryosoft.vi.level_meter | level_meter.nitrogen_level((), {})
2026-04-18 22:43:44 | DEBUG    | cryosoft.vi.level_meter | level_meter.nitrogen_level -> 90.0
2026-04-18 22:43:44 | DEBUG    | cryosoft.core.orchestrator | Monitor: magnet_x: get_field=0, magnet_current=0, magnet_status=HOLD | magnet_y: get_field=0, magnet_current=0, magnet_status=HOLD | temperature_vti: heater_output=0, setpoint=300, temperature=300 | temperature_sample: heater_output=0, setpoint=300, temperature=300 | level_meter: get_refresh_rate=0, helium_level=78.72, nitrogen_level=90
2026-04-18 22:43:44 | DEBUG    | cryosoft.vi.magnet_x | magnet_x.get_field((), {})
2026-04-18 22:43:44 | DEBUG    | cryosoft.vi.magnet_x | magnet_x.get_field -> 0.0
2026-04-18 22:43:44 | DEBUG    | cryosoft.vi.magnet_x | magnet_x.magnet_current((), {})
2026-04-18 22:43:44 | DEBUG    | cryosoft.vi.magnet_x | magnet_x.magnet_current -> 0.0
2026-04-18 22:43:44 | DEBUG    | cryosoft.vi.magnet_x | magnet_x.magnet_status((), {})
2026-04-18 22:43:44 | DEBUG    | cryosoft.vi.magnet_x | magnet_x.magnet_status -> 'HOLD'
2026-04-18 22:43:44 | DEBUG    | cryosoft.vi.magnet_y | magnet_y.get_field((), {})
2026-04-18 22:43:44 | DEBUG    | cryosoft.vi.magnet_y | magnet_y.get_field -> 0.0
2026-04-18 22:43:44 | DEBUG    | cryosoft.vi.magnet_y | magnet_y.magnet_current((), {})
2026-04-18 22:43:44 | DEBUG    | cryosoft.vi.magnet_y | magnet_y.magnet_current -> 0.0
2026-04-18 22:43:44 | DEBUG    | cryosoft.vi.magnet_y | magnet_y.magnet_status((), {})
2026-04-18 22:43:44 | DEBUG    | cryosoft.vi.magnet_y | magnet_y.magnet_status -> 'HOLD'
2026-04-18 22:43:44 | DEBUG    | cryosoft.vi.temperature_vti | temperature_vti.heater_output((), {})
2026-04-18 22:43:44 | DEBUG    | cryosoft.vi.temperature_vti | temperature_vti.heater_output -> 0.0
2026-04-18 22:43:44 | DEBUG    | cryosoft.vi.temperature_vti | temperature_vti.setpoint((), {})
2026-04-18 22:43:44 | DEBUG    | cryosoft.vi.temperature_vti | temperature_vti.setpoint -> 300.0
2026-04-18 22:43:44 | DEBUG    | cryosoft.vi.temperature_vti | temperature_vti.temperature((), {})
2026-04-18 22:43:44 | DEBUG    | cryosoft.vi.temperature_vti | temperature_vti.temperature -> 300.0
2026-04-18 22:43:44 | DEBUG    | cryosoft.vi.temperature_sample | temperature_sample.heater_output((), {})
2026-04-18 22:43:44 | DEBUG    | cryosoft.vi.temperature_sample | temperature_sample.heater_output -> 0.0
2026-04-18 22:43:44 | DEBUG    | cryosoft.vi.temperature_sample | temperature_sample.setpoint((), {})
2026-04-18 22:43:44 | DEBUG    | cryosoft.vi.temperature_sample | temperature_sample.setpoint -> 300.0
2026-04-18 22:43:44 | DEBUG    | cryosoft.vi.temperature_sample | temperature_sample.temperature((), {})
2026-04-18 22:43:44 | DEBUG    | cryosoft.vi.temperature_sample | temperature_sample.temperature -> 300.0
2026-04-18 22:43:44 | DEBUG    | cryosoft.vi.level_meter | level_meter.get_refresh_rate((), {})
2026-04-18 22:43:44 | DEBUG    | cryosoft.vi.level_meter | level_meter.get_refresh_rate -> 0
2026-04-18 22:43:44 | DEBUG    | cryosoft.vi.level_meter | level_meter.helium_level((), {})
2026-04-18 22:43:44 | DEBUG    | cryosoft.vi.level_meter | level_meter.helium_level -> 78.72401040693124
2026-04-18 22:43:44 | DEBUG    | cryosoft.vi.level_meter | level_meter.nitrogen_level((), {})
2026-04-18 22:43:44 | DEBUG    | cryosoft.vi.level_meter | level_meter.nitrogen_level -> 90.0
2026-04-18 22:43:47 | DEBUG    | cryosoft.vi.magnet_x | magnet_x.get_field((), {})
2026-04-18 22:43:47 | DEBUG    | cryosoft.vi.magnet_x | magnet_x.get_field -> 0.0
2026-04-18 22:43:47 | DEBUG    | cryosoft.vi.magnet_x | magnet_x.magnet_current((), {})
2026-04-18 22:43:47 | DEBUG    | cryosoft.vi.magnet_x | magnet_x.magnet_current -> 0.0
2026-04-18 22:43:47 | DEBUG    | cryosoft.vi.magnet_x | magnet_x.magnet_status((), {})
2026-04-18 22:43:47 | DEBUG    | cryosoft.vi.magnet_x | magnet_x.magnet_status -> 'HOLD'
2026-04-18 22:43:47 | DEBUG    | cryosoft.vi.magnet_y | magnet_y.get_field((), {})
2026-04-18 22:43:47 | DEBUG    | cryosoft.vi.magnet_y | magnet_y.get_field -> 0.0
2026-04-18 22:43:47 | DEBUG    | cryosoft.vi.magnet_y | magnet_y.magnet_current((), {})
2026-04-18 22:43:47 | DEBUG    | cryosoft.vi.magnet_y | magnet_y.magnet_current -> 0.0
2026-04-18 22:43:47 | DEBUG    | cryosoft.vi.magnet_y | magnet_y.magnet_status((), {})
2026-04-18 22:43:47 | DEBUG    | cryosoft.vi.magnet_y | magnet_y.magnet_status -> 'HOLD'
2026-04-18 22:43:47 | DEBUG    | cryosoft.vi.temperature_vti | temperature_vti.heater_output((), {})
2026-04-18 22:43:47 | DEBUG    | cryosoft.vi.temperature_vti | temperature_vti.heater_output -> 0.0
2026-04-18 22:43:47 | DEBUG    | cryosoft.vi.temperature_vti | temperature_vti.setpoint((), {})
2026-04-18 22:43:47 | DEBUG    | cryosoft.vi.temperature_vti | temperature_vti.setpoint -> 300.0
2026-04-18 22:43:47 | DEBUG    | cryosoft.vi.temperature_vti | temperature_vti.temperature((), {})
2026-04-18 22:43:47 | DEBUG    | cryosoft.vi.temperature_vti | temperature_vti.temperature -> 300.0
2026-04-18 22:43:47 | DEBUG    | cryosoft.vi.temperature_sample | temperature_sample.heater_output((), {})
2026-04-18 22:43:47 | DEBUG    | cryosoft.vi.temperature_sample | temperature_sample.heater_output -> 0.0
2026-04-18 22:43:47 | DEBUG    | cryosoft.vi.temperature_sample | temperature_sample.setpoint((), {})
2026-04-18 22:43:47 | DEBUG    | cryosoft.vi.temperature_sample | temperature_sample.setpoint -> 300.0
2026-04-18 22:43:47 | DEBUG    | cryosoft.vi.temperature_sample | temperature_sample.temperature((), {})
2026-04-18 22:43:47 | DEBUG    | cryosoft.vi.temperature_sample | temperature_sample.temperature -> 300.0
2026-04-18 22:43:47 | DEBUG    | cryosoft.vi.level_meter | level_meter.get_refresh_rate((), {})
2026-04-18 22:43:47 | DEBUG    | cryosoft.vi.level_meter | level_meter.get_refresh_rate -> 0
2026-04-18 22:43:47 | DEBUG    | cryosoft.vi.level_meter | level_meter.helium_level((), {})
2026-04-18 22:43:47 | DEBUG    | cryosoft.vi.level_meter | level_meter.helium_level -> 78.72351314079762
2026-04-18 22:43:47 | DEBUG    | cryosoft.vi.level_meter | level_meter.nitrogen_level((), {})
2026-04-18 22:43:47 | DEBUG    | cryosoft.vi.level_meter | level_meter.nitrogen_level -> 90.0
2026-04-18 22:43:47 | DEBUG    | cryosoft.core.orchestrator | Monitor: magnet_x: get_field=0, magnet_current=0, magnet_status=HOLD | magnet_y: get_field=0, magnet_current=0, magnet_status=HOLD | temperature_vti: heater_output=0, setpoint=300, temperature=300 | temperature_sample: heater_output=0, setpoint=300, temperature=300 | level_meter: get_refresh_rate=0, helium_level=78.72, nitrogen_level=90
2026-04-18 22:43:47 | DEBUG    | cryosoft.vi.magnet_x | magnet_x.get_field((), {})
2026-04-18 22:43:47 | DEBUG    | cryosoft.vi.magnet_x | magnet_x.get_field -> 0.0
2026-04-18 22:43:47 | DEBUG    | cryosoft.vi.magnet_x | magnet_x.magnet_current((), {})
2026-04-18 22:43:47 | DEBUG    | cryosoft.vi.magnet_x | magnet_x.magnet_current -> 0.0
2026-04-18 22:43:47 | DEBUG    | cryosoft.vi.magnet_x | magnet_x.magnet_status((), {})
2026-04-18 22:43:47 | DEBUG    | cryosoft.vi.magnet_x | magnet_x.magnet_status -> 'HOLD'
2026-04-18 22:43:47 | DEBUG    | cryosoft.vi.magnet_y | magnet_y.get_field((), {})
2026-04-18 22:43:47 | DEBUG    | cryosoft.vi.magnet_y | magnet_y.get_field -> 0.0
2026-04-18 22:43:47 | DEBUG    | cryosoft.vi.magnet_y | magnet_y.magnet_current((), {})
2026-04-18 22:43:47 | DEBUG    | cryosoft.vi.magnet_y | magnet_y.magnet_current -> 0.0
2026-04-18 22:43:47 | DEBUG    | cryosoft.vi.magnet_y | magnet_y.magnet_status((), {})
2026-04-18 22:43:47 | DEBUG    | cryosoft.vi.magnet_y | magnet_y.magnet_status -> 'HOLD'
2026-04-18 22:43:47 | DEBUG    | cryosoft.vi.temperature_vti | temperature_vti.heater_output((), {})
2026-04-18 22:43:47 | DEBUG    | cryosoft.vi.temperature_vti | temperature_vti.heater_output -> 0.0
2026-04-18 22:43:47 | DEBUG    | cryosoft.vi.temperature_vti | temperature_vti.setpoint((), {})
2026-04-18 22:43:47 | DEBUG    | cryosoft.vi.temperature_vti | temperature_vti.setpoint -> 300.0
2026-04-18 22:43:47 | DEBUG    | cryosoft.vi.temperature_vti | temperature_vti.temperature((), {})
2026-04-18 22:43:47 | DEBUG    | cryosoft.vi.temperature_vti | temperature_vti.temperature -> 300.0
2026-04-18 22:43:47 | DEBUG    | cryosoft.vi.temperature_sample | temperature_sample.heater_output((), {})
2026-04-18 22:43:47 | DEBUG    | cryosoft.vi.temperature_sample | temperature_sample.heater_output -> 0.0
2026-04-18 22:43:47 | DEBUG    | cryosoft.vi.temperature_sample | temperature_sample.setpoint((), {})
2026-04-18 22:43:47 | DEBUG    | cryosoft.vi.temperature_sample | temperature_sample.setpoint -> 300.0
2026-04-18 22:43:47 | DEBUG    | cryosoft.vi.temperature_sample | temperature_sample.temperature((), {})
2026-04-18 22:43:47 | DEBUG    | cryosoft.vi.temperature_sample | temperature_sample.temperature -> 300.0
